Student,Choice 1:,Choice 2:,Choice 3:,Choice 4:,Choice 5:,Choice 6:,Choice 7:,Choice 8:,Choice 9:,Choice 10:
1,Urban Gardening & Botany,Introduction to Python Programming,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,The Science of Sleep & Dreams,History of the Space Race,Modern Graphic Design Principles,The Physics of Superheroes,Podcast Production: Audio Storytelling
2,Chess Tactics for Beginners,Woodworking: Build a Box,Criminology: The Mind of a Detective,3D Printing & Rapid Prototyping,Introduction to Architecture,Google Sheet Skills for the Real World,Urban Gardening & Botany,Personal Finance & Investing 101,History of the Space Race,Ethics in Artificial Intelligence
3,Introduction to Architecture,Introduction to Python Programming,Origami: The Art of Paper Folding,Criminology: The Mind of a Detective,Constitutional Law & Civil Rights,Chess Tactics for Beginners,Marine Biology: Coral Reef Ecology,Podcast Production: Audio Storytelling,Stand-Up Comedy 101,Debate Team: Rhetoric & Argument
4,The Physics of Superheroes,Urban Gardening & Botany,Introduction to Python Programming,3D Printing & Rapid Prototyping,Cryptography & Code Breaking,Songwriting & Music Theory,Ethics in Artificial Intelligence,Modern Graphic Design Principles,Podcast Production: Audio Storytelling,Personal Finance & Investing 101
5,Introduction to Python Programming,Constitutional Law & Civil Rights,Modern Graphic Design Principles,American Sign Language (ASL) 1,Introduction to Python Programming,Introduction to Architecture,The Physics of Superheroes,Criminology: The Mind of a Detective,History of the Space Race,Cryptography & Code Breaking
6,Introduction to Architecture,History of the Space Race,Marine Biology: Coral Reef Ecology,Introduction to Python Programming,Personal Finance & Investing 101,Stand-Up Comedy 101,Podcast Production: Audio Storytelling,3D Printing & Rapid Prototyping,Entrepreneurship: Start Your Business,Urban Gardening & Botany
7,Statistics in Sports Analytics,Cryptography & Code Breaking,Basic Car Maintenance & Repair,Marine Biology: Coral Reef Ecology,Criminology: The Mind of a Detective,Origami: The Art of Paper Folding,Introduction to Architecture,Personal Finance & Investing 101,Urban Gardening & Botany,Introduction to Python Programming
8,3D Printing & Rapid Prototyping,Marine Biology: Coral Reef Ecology,Urban Gardening & Botany,Introduction to Architecture,Criminology: The Mind of a Detective,Entrepreneurship: Start Your Business,Personal Finance & Investing 101,Podcast Production: Audio Storytelling,Intro to Veterinary Science,Statistics in Sports Analytics
9,Statistics in Sports Analytics,Criminology: The Mind of a Detective,Woodworking: Build a Box,Personal Finance & Investing 101,The Science of Sleep & Dreams,Marine Biology: Coral Reef Ecology,Introduction to Python Programming,Basic Car Maintenance & Repair,Introduction to Architecture,Calligraphy & Hand Lettering
10,Marine Biology: Coral Reef Ecology,Podcast Production: Audio Storytelling,The Physics of Superheroes,Urban Gardening & Botany,The Physics of Superheroes,History of the Space Race,Stand-Up Comedy 101,Modern Graphic Design Principles,Personal Finance & Investing 101,Computer Hardware Repair
11,History of the Space Race,Marine Biology: Coral Reef Ecology,The Science of Sleep & Dreams,Entrepreneurship: Start Your Business,Podcast Production: Audio Storytelling,3D Printing & Rapid Prototyping,Statistics in Sports Analytics,Personal Finance & Investing 101,Introduction to Architecture,Survey of Modern Architecture
12,Urban Gardening & Botany,Introduction to Python Programming,Personal Finance & Investing 101,The Physics of Superheroes,Entrepreneurship: Start Your Business,Conflict Resolution Skills,Ethics in Artificial Intelligence,Calligraphy & Hand Lettering,Woodworking: Build a Box,American Sign Language (ASL) 1
13,Personal Finance & Investing 101,Urban Gardening & Botany,Marine Biology: Coral Reef Ecology,Introduction to Python Programming,Debate Team: Rhetoric & Argument,History of the Space Race,Basic Car Maintenance & Repair,Statistics in Sports Analytics,Survey of Modern Architecture,Podcast Production: Audio Storytelling
14,Personal Finance & Investing 101,Ethics in Artificial Intelligence,Modern Graphic Design Principles,The Science of Sleep & Dreams,Introduction to Python Programming,Cryptography & Code Breaking,Survey of Modern Architecture,Statistics in Sports Analytics,Constitutional Law & Civil Rights,Songwriting & Music Theory
15,Urban Gardening & Botany,Introduction to Python Programming,The Science of Sleep & Dreams,Personal Finance & Investing 101,Marine Biology: Coral Reef Ecology,Debate Team: Rhetoric & Argument,Modern Graphic Design Principles,Entrepreneurship: Start Your Business,The Physics of Superheroes,Podcast Production: Audio Storytelling
